name,team,points,cost,e3-harelbeke,gent-wevelgem,dwars-door-vlaanderen,ronde-van-vlaanderen,scheldeprijs,paris-roubaix,de-brabantse-pijl,amstel-gold-race,la-fleche-wallone,liege-bastogne-liege
Chris Hamilton,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,0
Jai Hindley,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,0
Lennard Hofstede,Team Sunweb,0,4,1,1,1,1,1,0,0,0,0,0
Lennard Kämna,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,0
Tom Stamsnijder,Team Sunweb,0,4,1,1,0,1,1,1,0,0,0,0
Laurens Ten Dam,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,0
Martijn Tusveld,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,0
Louis Vervaeke,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,0
Max Walscheid,Team Sunweb,0,4,0,0,0,0,1,1,0,0,0,0
Eugenio Alafaci,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Fumiyuki Beppu,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Julien Bernard,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,1,1
Matthias Brändle,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Nicola Conci,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Gregory Daniel,Trek - Segafredo,0,4,0,0,0,0,0,0,0,1,1,1
Koen De Kort,Trek - Segafredo,0,4,1,1,1,1,0,0,0,0,0,0
Niklas Eg,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Alex Frame,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Tsgabu Grmay,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Ruben Guerreiro,Trek - Segafredo,0,4,0,0,0,0,0,0,0,1,1,1
Ryan Mullen,Trek - Segafredo,0,4,1,1,0,0,0,0,0,0,0,0
Toms Skujiņš,Trek - Segafredo,0,4,0,0,0,0,0,0,0,1,1,1
Peter Stetina,Trek - Segafredo,0,4,0,0,0,0,0,0,0,0,0,0
Anass Ait El Abdia,UAE-Team Emirates,0,4,0,0,0,0,0,0,0,0,0,0
Sven Erik Bystrøm,UAE-Team Emirates,0,4,1,1,1,1,0,1,0,0,0,0
Filippo Ganna,UAE-Team Emirates,0,4,1,1,1,1,0,0,0,0,0,0
Yousef Mohamed Mirza,UAE-Team Emirates,0,4,0,0,0,0,0,0,0,0,0,0
Manuele Mori,UAE-Team Emirates,0,4,0,0,0,0,0,0,0,0,0,0
Edward Ravasi,UAE-Team Emirates,0,4,0,0,0,0,0,0,0,0,0,0
Rory Sutherland,UAE-Team Emirates,0,4,0,0,0,0,0,0,0,0,0,0
Oliviero Troia,UAE-Team Emirates,0,4,1,1,1,1,0,0,0,0,0,0
Dries De Bondt,Vérandas Willems-Crelan,0,4,1,1,0,1,1,0,0,0,0,0
Stan Godrie,Vérandas Willems-Crelan,0,4,0,0,0,0,0,0,0,0,0,0
Jappe Jaspers,Vérandas Willems-Crelan,0,4,0,0,0,0,0,0,0,0,0,0
Aidis Kruopis,Vérandas Willems-Crelan,0,4,1,1,1,0,1,0,0,0,0,0
Senne Leysen,Vérandas Willems-Crelan,0,4,0,0,0,0,1,0,0,0,0,0
Stijn Steels,Vérandas Willems-Crelan,0,4,1,0,0,0,0,0,0,0,0,0
David Tanner,Vérandas Willems-Crelan,0,4,0,0,0,0,0,0,0,0,0,0
Elias Van Breussegem,Vérandas Willems-Crelan,0,4,1,0,0,0,0,0,0,0,0,0
Zico Waeytens,Vérandas Willems-Crelan,0,4,0,0,1,0,1,1,0,0,0,0
Yoann Bagot,Vital Concept,0,4,0,0,0,0,0,0,0,0,0,0
Erwann Corbel,Vital Concept,0,4,0,0,0,0,1,0,0,0,0,0
Arnaud Courteille,Vital Concept,0,4,0,0,0,0,0,0,0,0,0,0
Bert De Backer,Vital Concept,0,4,0,1,0,1,0,0,0,0,0,0
Corentin Ermenault,Vital Concept,0,4,0,0,0,0,0,0,0,0,0,0
Marc Fournier,Vital Concept,0,4,0,0,0,0,1,0,0,0,0,0
Adrien Garel,Vital Concept,0,4,1,1,0,0,0,0,0,0,0,0
Steven Lammertink,Vital Concept,0,4,1,0,0,0,0,0,0,0,0,0
Julien Morice,Vital Concept,0,4,0,1,0,1,0,0,0,0,0,0
Justin Mottier,Vital Concept,0,4,0,0,0,0,1,0,0,0,0,0
Patrick Müller,Vital Concept,0,4,1,0,0,1,0,0,0,0,0,0
Tanguy Turgis,Vital Concept,0,4,1,0,0,0,0,0,0,0,0,0
Simone Antonini,Wanty - Groupe Gobert,0,4,0,0,0,0,0,0,0,0,0,0
Thomas Degand,Wanty - Groupe Gobert,0,4,0,0,0,0,0,0,0,0,0,0
Fabien Doubey,Wanty - Groupe Gobert,0,4,0,0,0,0,0,0,0,0,0,0
Odd Christian Eiking,Wanty - Groupe Gobert,0,4,0,0,0,0,0,0,0,0,1,1
Wesley Kreder,Wanty - Groupe Gobert,0,4,1,0,1,1,1,0,0,0,0,0
Guillaume Martin,Wanty - Groupe Gobert,0,4,0,0,0,0,0,0,0,1,1,1
Boris Vallée,Wanty - Groupe Gobert,0,4,0,1,0,0,0,0,0,0,0,0
Kevin Van Melsen,Wanty - Groupe Gobert,0,4,1,1,0,0,0,0,0,0,0,0
Ludwig De,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,0,0
Sebastien Delfosse,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,0,0
Thomas Deruette,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,0,0
Jimmy Duquennoy,WB Veranclassic Aqua Protect ,0,4,0,1,0,0,1,0,0,0,0,0
Gregory Habeaux,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,0,0
Kevyn Ista,WB Veranclassic Aqua Protect ,0,4,1,1,1,1,1,0,0,0,0,0
Justin Jules,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,1,0,0,0,0,0
Alex Kirsch,WB Veranclassic Aqua Protect ,0,4,1,0,1,1,0,1,0,0,0,0
Eliot Lietaer,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,1,1
Julien Mortier,WB Veranclassic Aqua Protect ,0,4,1,0,0,0,1,0,0,0,0,0
Dimitri Peyskens,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,1,1
Ludovic Robeet,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,0,0
Franklin Six,WB Veranclassic Aqua Protect ,0,4,1,1,1,1,1,0,0,0,0,0
Lukas Spengler,WB Veranclassic Aqua Protect ,0,4,1,0,1,1,0,0,0,0,0,0
Julien Stassen,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,0,0
Maxime Vantomme,WB Veranclassic Aqua Protect ,0,4,1,1,1,1,1,0,0,0,0,0
Antoine Warnier,WB Veranclassic Aqua Protect ,0,4,0,0,0,0,0,0,0,0,0,0
Liam Bertazzo,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Simone Bevilacqua,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Marco Coledan,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Miguel Eduardo Florez,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Giuseppe Fonzi,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Ilia Koshevoy,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Luca Pacioni,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Luca Raggio,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Massimo Rosa,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Alex Turrin,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
Simone Velasco,Wilier Triestina - Selle Italia,0,4,0,0,0,0,0,0,0,0,0,0
