name,team,points,cost,e3-harelbeke,gent-wevelgem,dwars-door-vlaanderen,ronde-van-vlaanderen,scheldeprijs,paris-roubaix,de-brabantse-pijl,amstel-gold-race,la-fleche-wallone,liege-bastogne-liege
Rein Taaramäe,Direct Energie,0,6,0,0,0,0,0,0,0,0,1,1
Matti Breschel,EF Education First-Drapac p/b Cannondale,50,6,1,1,1,1,1,0,0,0,0,0
Brendan Canty,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
Hugh Carthy,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
Simon Clarke,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
William Clarke,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
Lawson Craddock,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
Mitchell Docker,EF Education First-Drapac p/b Cannondale,0,6,1,0,1,0,1,0,0,0,0,0
Joe Dombrowski,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
Alex Howes,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
Daniel Mclay,EF Education First-Drapac p/b Cannondale,0,6,0,1,1,0,1,0,0,0,0,0
Logan Owen,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,0
Taylor Phinney,EF Education First-Drapac p/b Cannondale,0,6,1,1,0,1,1,1,0,0,0,0
Pierre Rolland,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,0,0,1
Tom Van Asbroeck,EF Education First-Drapac p/b Cannondale,0,6,1,0,1,1,1,0,0,0,0,0
Michael Woods,EF Education First-Drapac p/b Cannondale,0,6,0,0,0,0,0,0,0,1,1,1
Maxime Bouet,Fortuneo - Samsic,0,6,0,0,0,0,0,0,0,0,0,0
Maxime Daniel,Fortuneo - Samsic,0,6,0,0,0,0,1,0,0,0,0,0
Anthony Delaplace,Fortuneo - Samsic,0,6,0,0,0,0,0,0,0,0,0,0
Romain Hardy,Fortuneo - Samsic,0,6,0,0,0,0,0,0,0,0,1,1
